incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident descriptio,support group,tower group,domain group,priority,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001470854,IBERIA,IBERIA,01/01/2021 00:09,02/01/2021 16:13,Closed,Teléfono averiado.,Fixed Telephony,Network Tower,Network Tower,Baja,4-Baja,"No hubo ningún problema, se trató del cierre prematuro de la línea por las festividades.",Unidad de Instalaciones y Telecomunicaciones,INCIDENT,06/01/2021,TELEPHONY FAILURE,,1,SIN IDENTIFICAR,
INC000001470856,IBERIA,IBERIA,01/01/2021 00:48,01/01/2021 09:53,Closed,QualityResource: Failure rate increase,AM_MTO_IBCOM,Application Tower,Ib.com,Media,3-Medio,Issue Description:Dynatrace - Problem 143 - QualityResource Business Impact: The alerts could have been a major issue but were momentary with no impact. Analysis: The alerts were momentary and no Business Impact.. Action taken: Monitoring and Analsysi was done to check the alerts. Problem Ticket:not required as it can be solved in incident and services need to be check Prevent Measures: Not Required as it was momentary.,MANTENIMIENTO IB.COM,INCIDENT,05/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001470857,IBERIA,IBERIA,01/01/2021 03:17,01/01/2021 10:19,Closed,LINUX_sun - saadminl.ib : Perdida de conexion con servidor de WebLogic AdminServer_CPLEX^AdminServer,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,3-Medio,The incident came during the time of auto restart after the restart the server is up and running fine.,Unidad de Operaciones Ordenadores,INCIDENT,05/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001470858,IBERIA,IBERIA,01/01/2021 06:07,01/01/2021 08:33,Closed,Solicita reset de usuario de RESIBER,CSUSAS,Server Tower,Server Tower,Media,2-Alta,CSUSAS//Se resetea contraseña de Resiber en TSC y se notifica a usuario,Unidad de Operaciones Ordenadores,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (MADRID BARAJAS),PROD.T123_PAX_AG. (AHMTS01A)
INC000001470860,IBERIA,IBERIA,01/01/2021 03:31,01/01/2021 10:23,Closed,LINUX_sun - ibcdwl3.ib : Perdida de conexion con servidor de WebLogic ibcom_A2^126150494. Avisar a B,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,3-Medio,The incident came during the time of auto restart after the restart the server is up and running fine. ibcdwl1-ibcom_A1 RUNNING 2257/3916 (57%) 11/12 0 49740 (+0) 0 #255.6 68 (+68) 1298 ( +0) 0 ibcdwl3-ibcom_A2 RUNNING 3295/3916 (84%) 7/8 0 49282 (+0) 0 #255.6 67 (+68) 1383 ( +0) 0 ibcdwl1-ibcom_A3 RUNNING 2523/3916 (64%) 7/9 0 49216 (+0) 0 #255.6 66 (+66) 1320 ( +0) 0 ibcdwl1-ibcom_A5 RUNNING 3404/3916 (86%) 7/8 0 50434 (+0) 0 #255.6 71 (+71) 1341 ( +0) 0 ibcdwl1-ibcom_A7 RUNNING 3506/3916 (89%) 20/21 0 49891 (+0) 0 #255.6 71 (+71) 1302 ( +0) 0 ibcdwl3-ibcom_A4 RUNNING 2743/3916 (70%) 12/13 0 50534 (+0) 0 #255.6 67 (+67) 1357 ( +0) 0 ibcdwl3-ibcom_A6 RUNNING 3336/3916 (85%) 7/8 0 50000 (+0) 0 #255.6 68 (+68) 1324 ( +0) 0 ibcdwl3-ibcom_A8 RUNNING 2981/3916 (76%) 8/9 0 50166 (+0) 0 #255.6 75 (+75) 1401 ( +0) 0,Unidad de Operaciones Ordenadores,INCIDENT,05/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001470862,IBERIA,IBERIA,01/01/2021 05:24,01/01/2021 06:48,Closed,LINUX_sun - Error IbCom-PORTAL: Problemas con bloqueos en los threads. ibcdwl7.ib-ibcom_A10. Op. Uni,AM_MTO_IBCOM,Application Tower,Ib.com,Media,3-Medio,"Issue Description :Error IbCom-PORTAL: Problemas con bloqueos en los threads. ibcdwl7.ib-ibcom_A14. Business Impact -: No,as failures auto-recovered. Analysis : We checked the web logic instance however there were no suck threads. Action taken: We monitored the trend however the errors recovered. Problem Ticket Required (y/n) : Not required, as this is a proactive check. Prevent Measures : Not required, as we have alert configured for same.",MANTENIMIENTO IB.COM,INCIDENT,05/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001470865,IAG CARGO,IBERIA,01/01/2021 10:02,03/01/2021 10:30,Closed,[CARGO PORTAL] INC0130159 service now Unable to add LHR Regulated Agent Number into Box 14 in eCSD s,CARGO-PORTAL,Application Tower,CARGO,Alta,2-Alta,"[Issue]: Unable to add LHR Regulated Agent Number into Box 14 in ECSD system. [Impact]: User will unable to add LHR Regulated Agent number in Box 1 on the eCSD system. [Analysis]:We have inserted the records(LHR Regulated Agent number) in live and now it is also reflecting in Portal’s view. [Step Taken to Resolve]: We have update the same to user and they have created a new ECSD with the LHR RA code and it is now allowing to be saved. Also have then edited and added the LHR RA code in Box 14 and also allowed to save without any error codes. This indicates that this is now working and after they confirmed us to close the issue. [Problem Ticket Required? (Yes, No).]:No [Can this incident be prevented? (Yes, No)]:N/A",Mantenimiento Cargo,INCIDENT,07/01/2021,ACCESS FAILURE,INTERNET ACCESS,2,SIN IDENTIFICAR,
INC000001470867,IBERIA,IBERIA,01/01/2021 06:36,01/01/2021 06:36,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TERMINAL T4,ASIST.PAX T4_TRA_SER. AUX (AHMDST4E)
INC000001470869,IBERIA,IBERIA,01/01/2021 09:40,02/01/2021 11:40,Closed,Incidencia en CKI,CKI,Application Tower,PSS,Media,3-Medio,Vuelo abierto a facturación.,Mantenimiento Pasaje,INCIDENT,06/01/2021,SOFTWARE FAILURE,,1,SIN IDENTIFICAR (Madrid),
INC000001470871,IBERIA,IBERIA,01/01/2021 09:03,01/01/2021 11:25,Closed,"LINUX_ibm - El job: D21OYEC0 con OrderID: 5c1sg del DataCenter: CTM_SERVER en la maquina: zlc, Aplic",Gcomercial,Application Tower,Cobol Domain,Baja,4-Baja,Issue: Fallos Procesos D21 Impact: Alta Root causes: Fallo por fichero vacio. Steps taken: Se hace workaround del proceso para que continue la ejecución con el fichero vacio.,Mantenimiento COBOL,INCIDENT,05/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001470875,IBERIA,IBERIA,01/01/2021 09:14,01/01/2021 09:45,Closed,Solicita desbloqueo de usuario SAP.,SSCCLMZ,Service Ops Tower,Service Ops Tower,Media,3-Medio,resolved,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (BARCELONA),ESP. DE SOPORTE MATERIALE (AMICI0BC)
INC000001470876,IBERIA,IBERIA,01/01/2021 12:25,04/01/2021 06:29,Closed,Solicita desbloqueo de usuario SAP.,SAP BASIS,Application Tower,Mantenimiento Dir. Técnica – MRO,Baja,4-Baja,"User id has been deactivated due to inactivity. Requested user to create new WO along with Andy carl best approval for activating the user id,",Mantenimiento Dir. Técnica,INCIDENT,08/01/2021,ACCESS FAILURE,PASSWORD RESET,3,BCN AEROPUERTO,TMA JEFE MECANICA (AMNLB0AA)
INC000001470878,IBERIA,IBERIA,01/01/2021 10:30,01/01/2021 10:48,Closed,Solicita reset de usuario de RESIBER,CSUSAS,Server Tower,Server Tower,Media,2-Alta,CSUSAS// Se resetean los SIgn In para TSC y TSA,Unidad de Operaciones Ordenadores,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,MLN AEROPUERTO,POLIVALENCIA MELILLA PAX (AHARN0XZ)
INC000001470879,IBERIA,IBERIA,01/01/2021 09:40,07/01/2021 07:36,Closed,LINUX - ibcce005plin01 : Service is Down.,ESecurity_Splunk,Server Tower,Server Tower,Media,3-Medio,Splunk is up and running. [splunk@ibcce005plin01 ~]$ /opt/splunkforwarder/bin/./splunk status splunkd is running (PID: 30319). splunk helpers are running (PIDs: 30324).,Unidad de Operaciones Ordenadores,INCIDENT,11/01/2021,PERFORMANCE ISSUE,,6,SIN IDENTIFICAR,
INC000001470880,IAG CARGO,IAG CARGO,01/01/2021 09:47,01/01/2021 18:24,Closed,[SGAR] Falla del ETV,CARGO-PORTAL,Application Tower,CARGO,Alta,2-Alta,"Closure Comment ================ [Issue]- INC000001470880 / No orders are sent from ATGA to SGAR and shows error internal application management [Impact]- User will not able to procced with orders. [Analysis] - We have checked the order table and below two orders are pending in the system: 1. PMC86402R7 2. PMC76297R7 [Step Taken to Resolve] -> Below actions have been done after user confirmation. 1)Stuck orders have been deleted. 2)Process has been restarted successfully. [Can this incident be prevented? (Yes, No)] - NA ====================",Mantenimiento Cargo,INCIDENT,05/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,SIN IDENTIFICAR (MADRID BARAJAS),
INC000001470881,IBERIA,IBERIA,01/01/2021 10:06,02/01/2021 08:53,Closed,Solicita desbloqueo de usuario SAP.,SSCCLMZ,Service Ops Tower,Service Ops Tower,Baja,4-Baja,RESOLVED,Unidad Control del Servicio,INCIDENT,06/01/2021,ACCESS FAILURE,PASSWORD RESET,1,BCN AEROPUERTO,MNG.PLANIFICACIÓN Y SOPOR (AMNLB0)
INC000001470882,IBERIA,IBERIA,01/01/2021 10:03,01/01/2021 10:03,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001470885,IBERIA,IBERIA,01/01/2021 10:16,27/01/2021 15:11,Closed,LINUX_sun - CADUCIDAD CERTIFICADO en e101ao01 mc_host=e101ao01 mc_host_class=Linux mc_host_addres,Soporte Linux - Sistema Operativo,Server Tower,Server Tower,Media,3-Medio,We will share the updates about the CRQ's with the new incident INC000001477563. We will close this duplicate incident.,Unidad de Operaciones Ordenadores,INCIDENT,31/01/2021,PROCESS FAILURE,,26,SIN IDENTIFICAR,
INC000001470888,IBERIA,IBERIA,01/01/2021 10:51,01/01/2021 17:50,Closed,LINUX_sun - intraprol1.ib : Proceso http-portal Parado. Raise incident and CallOut to TSSUNUNISYS-BB,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,3-Medio,"http-portal instance running fine, no issues found, closing ticket",Unidad de Operaciones Ordenadores,INCIDENT,05/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001470889,IBERIA,IBERIA,01/01/2021 10:53,01/01/2021 11:27,Closed,"LINUX_ibm - El job: D21OCEP0 con OrderID: 5c1se del DataCenter: CTM_SERVER en la maquina: zlc, Aplic",Gcomercial,Application Tower,Cobol Domain,Baja,4-Baja,Issue: Fallos Procesos D21 Impact: Alta Root causes: Fallo por fichero vacio. Steps taken: Se hace workaround del proceso para que continue la ejecución con el fichero vacio.,Mantenimiento COBOL,INCIDENT,05/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,SIN IDENTIFICAR,
INC000001470891,IBERIA,IBERIA,01/01/2021 11:11,05/01/2021 08:51,Closed,[ESC009],AIRPORT2_ELS,Delivery,Delivery,Media,3-Medio,[Asseco] Se realiza la subida y y se filtra correctamente,Mantenimiento Aeropuertos,INCIDENT,09/01/2021,SOFTWARE FAILURE,,4,SIN IDENTIFICAR (MADRID BARAJAS),PREMIUM HUB MAD BJS (BCLTP0BJ)
INC000001470894,IBERIA,IBERIA,01/01/2021 11:38,04/01/2021 16:01,Closed,LINUX_ibm - Error Reprocesos_PKG_DMC_QUICKWINS_DAILY_CABIN mc_host=odiagorl1 mc_host_class=Linux,Aplicaciones BI,Application Tower,BI,Media,3-Medio,,Mantenimiento BI,INCIDENT,08/01/2021,PROCESS FAILURE,,3,SIN IDENTIFICAR,
INC000001470895,IBERIA,IBERIA,01/01/2021 12:25,01/01/2021 12:25,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,EN EL AVIÓN - A340,FLOTA A340 Pilotos (AVVIL0A1)
