incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident descriptio,support group,tower group,domain group,priority,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001496360,IBERIA,IBERIA,01/03/2021 12:02,,Assigned,Fallo Software: AVISO EN PORTATIL DE VIRUS DETECTADO,ANTIVIRUS,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),MANAGER CLIENTES ALTO VAL (ALCO00)
INC000001496356,OTHERS,IAG GBS,01/03/2021 13:24,,Assigned,INC0161509 s for attached invoices inerfaced from G50,USCIBMAM,Application Tower,Cobol Domain,Media,,Mantenimiento COBOL,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,IAG GBS,
INC000001496352,IBERIA,IBERIA,01/03/2021 11:47,,In Progress,Disconnections in yedifact^matip_iet application.,MIDDLEWARE PSS,Delivery,PSS,Baja,,Mantenimiento Pasaje,INCIDENT,01/03/2021,COMMUNICATIONS FAILURE,EXTERNAL LINE,0,,
INC000001496344,IBERIA,IBERIA,01/03/2021 13:26,,Assigned,LINUX_sun - apgil1.ib : CPU used by users is 96.85%. Call Out to SOPORTE LINUX-SISTEMA OPERATIVO OnC,Soporte Linux - Sistema Operativo,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,01/03/2021,PERFORMANCE ISSUE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496339,IBERIA,IBERIA,01/03/2021 13:15,,Assigned,[TRYP]: No actualiza,AIRPORT2,Application Tower,Aeropuertos,Media,,Mantenimiento Aeropuertos,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,TERMINAL T4,PERSONAL_GEST. EMPLEO (AHMP00PE)
INC000001496338,IBERIA,IBERIA,01/03/2021 13:10,,Pending,SIC011- Error Reprocesos_PKG_DMC_QUICKWINS_DAILY_BKGS mc_host=odiagorl1 mc_host_class=Linux mc_h,Plataformas BI,Application Tower,BI,Media,,Mantenimiento BI,INCIDENT,01/03/2021,PERFORMANCE ISSUE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496334,IBERIA,IBERIA,01/03/2021 13:06,,In Progress,Please check Ofimatica1 and Ofimatica2 servers,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,01/03/2021,ACCESS FAILURE,,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001496331,IBERIA,IBERIA,01/03/2021 13:00,,Assigned,La pantalla se ha roto y tiene como 5 rayas verdes y una mancha.,IAG EUC Remote Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,HARDWARE FAILURE,,0,TERMINAL T4,ASIST.PAX T4_J.TERMINAL (AHMDST4D)
INC000001496325,IBERIA,IBERIA,01/03/2021 12:47,,Assigned,Control-M Server: Shout by orderno: 0005go1v D50O10TE,USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,PROCESS FAILURE,BATCH,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496324,IBERIA,IBERIA,01/03/2021 13:00,,Assigned,[GLE001] SAP CFS - DOC module:flights released but the status is PDEP so SES cannot be created,FINANCE-SUPPORT,Application Tower,FINANCE,Baja,,Mantenimiento Financiero,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR,
INC000001496316,IBERIA,IBERIA,01/03/2021 12:45,,Assigned,Incidencia Petición de acceso a OPYS,NIIT_MTO_CS,Application Tower,Comercial y CRM,Baja,,Mantenimiento Comercial y CRM,INCIDENT,01/03/2021,ACCESS FAILURE,,0,NEO-MARTINEZ VILLERGAS 49,ESPECIALISTA SALES SUPPOR (ACEV11)
INC000001496315,IBERIA,IBERIA,01/03/2021 12:38,,Assigned,Fallo Hardware en PC,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,HARDWARE FAILURE,,0,BCN AEROPUERTO,CAP BARCELONA (AHABS0MK)
INC000001496313,IBERIA,IBERIA,01/03/2021 12:20,,Assigned,Fallo Peoplesoft: ERTE pero no volcado en ausencias,PeopleSoft Apps Support,Application Tower,RRHH,Baja,,Mantenimiento Corporativa y RRHH,INCIDENT,01/03/2021,DATA ISSUE,,0,NEO-MARTINEZ VILLERGAS 49,NÓMINA (3YRN00)
INC000001496312,IBERIA,IBERIA,01/03/2021 12:22,,Assigned,[COM] PAYMENT [NL-iDeal] Errores pago Online Banking: invalid Request Message. The request contains…,AM_MTO_IBIS,Application Tower,Ib.com,Baja,,MANTENIMIENTO IB.COM,INCIDENT,01/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001496311,IBERIA,IBERIA,01/03/2021 12:06,,Assigned,"[NDCSUPPORT]Se manda mail de error de emisión, cuando en el primer reintento se consigue emitir",gar_front_ibis_wcs,Delivery,Delivery,Baja,,MANTENIMIENTO IB.COM,INCIDENT,01/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,SIN IDENTIFICAR,
INC000001496306,IBERIA,IBERIA,01/03/2021 11:56,,Assigned,Control-M Server: Shout by orderno: 0005go7u Ha fallado el job F49O604 en zlc CONTROL-M/Server <Cont,USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,PROCESS FAILURE,BATCH,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496303,IBERIA,IBERIA,01/03/2021 11:51,,Assigned,[NDCSUPPORT]Error emision EMD El billete tenía un asiento incluido por fuera de NDC al intentar incl,gar_front_ibis_wcs,Delivery,Delivery,Baja,,MANTENIMIENTO IB.COM,INCIDENT,01/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,SIN IDENTIFICAR,
INC000001496297,IBERIA,IBERIA,01/03/2021 11:42,,Assigned,Fallo Software: Problemas de funcionamiento del ordenador,IAG EUC Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,TALLER MOTORES,SM. VENTAS MARKETING Y SO (AMR000)
INC000001496293,IBERIA,IBERIA,01/03/2021 11:39,,Assigned,Fallo Peoplesoft: agotamiento de plazo del piloto 142645 y no se ha volcado a Nemo,PeopleSoft Apps Support,Application Tower,RRHH,Baja,,Mantenimiento Corporativa y RRHH,INCIDENT,01/03/2021,DATA ISSUE,,0,EN EL AVIÓN - A340,FLOTA A340 Pilotos (AVVIL0A1)
INC000001496287,IBERIA,IBERIA,01/03/2021 11:31,,Assigned,I1_SOC-1348 - I1-InitialAccess-T1078.001-DefaultAccountLoginAttemptDetectedWindows-SPL001,Operations L1,Service Ops Tower,Service Ops Tower,Media,,Unidad Control del Servicio,INCIDENT,01/03/2021,SECURITY ISSUE,,0,SIN IDENTIFICAR,
INC000001496277,IBERIA,IBERIA,01/03/2021 11:13,,Assigned,Fallo Peoplesoft:No se han generado ficheros de afiliación ni el fichero mensual de ponderaciones,PeopleSoft Apps Support,Application Tower,RRHH,Media,,Mantenimiento Corporativa y RRHH,INCIDENT,01/03/2021,DATA ISSUE,,0,NEO-MARTINEZ VILLERGAS 49,NÓMINA (3YRN00)
INC000001496272,IBERIA,IBERIA,01/03/2021 11:03,,Assigned,Control-M Server: Shout by orderno: 0005gq8w A60IGGR1,USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,PROCESS FAILURE,,0,SIN IDENTIFICAR,
INC000001496271,IBERIA,IBERIA,01/03/2021 10:59,,Assigned,LINUX_ibm - obianl1.ib : Perdida de conexion con servidor de WebLogic bi_server1^bi_server1. Call to,Plataformas BI,Application Tower,BI,Media,,Mantenimiento BI,INCIDENT,01/03/2021,PROCESS FAILURE,,0,SIN IDENTIFICAR,
INC000001496268,IAG CARGO,IBERIA,01/03/2021 10:50,,In Progress,"alert iagcargo2 in Component:threadpool,State:HEALTH_WARN,MBean:ThreadPoolRuntime,ReasonCode:[Thread",CARGO-PORTAL,Application Tower,CARGO,Media,,Mantenimiento Cargo,INCIDENT,01/03/2021,PROCESS FAILURE,,0,SIN IDENTIFICAR,
INC000001496266,IBERIA,IBERIA,01/03/2021 10:56,,In Progress,Incidencia: OBI pérdida de permisos,Aplicaciones BI,Application Tower,BI,Media,,Mantenimiento BI,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,NEO-MARTINEZ VILLERGAS 49,MNG DATA GOVERNANCE (1T0021)
INC000001496260,IBERIA,IBERIA,01/03/2021 11:09,,Assigned,Fallo Software:,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR,
INC000001496258,IBERIA,IBERIA,01/03/2021 11:33,,Assigned,[PORTAL EMPLEADO] Billete Zed no aparece Mi Gestion,JAVA Apps Support,Application Tower,RRHH,Baja,,Mantenimiento Corporativa y RRHH,INCIDENT,01/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001496248,IBERIA,IBERIA,01/03/2021 11:35,,Assigned,Fallo Software: error correo,IAG EUC Remote Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,NEO-MARTINEZ VILLERGAS 49,MANAGER DE EMERGENCIAS (APSE01)
INC000001496244,IBERIA,IBERIA,01/03/2021 11:38,,In Progress,AV1_GDS_IBI2_S_9019 link disconnections in AVS application.,MIDDLEWARE PSS,Delivery,PSS,Baja,,Mantenimiento Pasaje,INCIDENT,01/03/2021,COMMUNICATIONS FAILURE,EXTERNAL LINE,0,,
INC000001496243,IBERIA,IBERIA,01/03/2021 11:29,,In Progress,LINUX_ibm - Error Reprocesos_PKG_DMC_QUICKWINS_DAILY_CABIN mc_host=odiagorl1 mc_host_class=Linux mc_,Aplicaciones BI,Application Tower,BI,Media,,Mantenimiento BI,INCIDENT,01/03/2021,PROCESS FAILURE,BATCH,0,SIN IDENTIFICAR,
INC000001496242,IBERIA,IBERIA,01/03/2021 11:26,,In Progress,Comprobar Uploads,NIIT_MTO_GESING,Application Tower,REVENUE MANAGEMENT,Baja,,Mantenimiento Pasaje,INCIDENT,01/03/2021,ACCESS FAILURE,,0,SIN IDENTIFICAR,MNG DESARROLLO COMERCIAL (ASBPC0)
INC000001496239,IBERIA,IBERIA,01/03/2021 11:17,,Pending,Fallo Hardware en Portatil - incidencia teclado,IAG EUC Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,HARDWARE FAILURE,,0,DESCONOCIDO,P FUT Y JF PRO MET AGILE( (1T0001)
INC000001496238,IBERIA,IBERIA,01/03/2021 11:34,,Assigned,Incidencia permisos OBI,Aplicaciones BI,Application Tower,BI,Media,,Mantenimiento BI,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,NEO-MARTINEZ VILLERGAS 49,"D. VENTAS EMEA, EEUU & AS (ACWU00)"
INC000001496236,IBERIA,IBERIA,01/03/2021 11:06,,Assigned,Control-M Server: Shout by orderno: 0005gq8x A60IGIE1,USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,PROCESS FAILURE,,0,SIN IDENTIFICAR,
INC000001496233,IBERIA,IBERIA,01/03/2021 11:10,,Assigned,Fallo Software:No se actualizan las carpetas de onedrive cuando doy a sincronizar,IAG EUC Remote Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR (BARCELONA),MNG. CALIDAD (LINEA) (AM70LC)
INC000001496232,IBERIA,IBERIA,01/03/2021 11:00,,In Progress,[COM] IBCOSE | No funciona el link a “más información sobre el check-in online”,AM_MTO_IBCOM,Application Tower,Ib.com,Baja,,MANTENIMIENTO IB.COM,INCIDENT,01/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,MANDOS,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001496230,IBERIA EXPRESS,IBERIA EXPRESS,01/03/2021 11:13,,Assigned,"se necesita analizar los logs de un usuario, irene.fidalgo",MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Media,Analysing,Unidad de Operaciones Ordenadores,INCIDENT,01/03/2021,DEFAULT,,0,SIN IDENTIFICAR,
INC000001496229,IBERIA,IBERIA,01/03/2021 11:05,,Assigned,[DHC proactive alert] : @ibcdwl2 and @ibcdwl4 - disc space is 96% and 90% respectively,MONITORIZACION Y DISPONIBILIDAD DE SERVICIOS,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,01/03/2021,ACCESS FAILURE,,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001496219,IBERIA,IBERIA,01/03/2021 10:45,,Assigned,"[COM] CKI | Error en el flujo de checkin al solicitar los ancillaries, error “ASS_FASS_9006”",AM_MTO_IBIS,Application Tower,Ib.com,Baja,,MANTENIMIENTO IB.COM,INCIDENT,01/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001496210,IBERIA,IBERIA,01/03/2021 10:22,,Assigned,Control-M Server: Shout by orderno: 0005ghex G54O51I,USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,PROCESS FAILURE,,0,SIN IDENTIFICAR,
INC000001496207,IBERIA,IBERIA,01/03/2021 10:14,,Assigned,Control-M Server: Shout by orderno: 0005gpzw F49O745,USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496203,IBERIA,IBERIA,01/03/2021 10:11,,Pending,Fallo Software: CONEXION ONEDRIVE,IAG SITA Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,BCN AEROPUERTO,PERSONAL BARCELONA (AHABP0EP)
INC000001496199,IBERIA,IBERIA,01/03/2021 09:54,,In Progress,Fichero ED10.LNODFBG.A2103 no recibido,NIIT_MTO_GESING,Application Tower,REVENUE MANAGEMENT,Media,El proceso va con retraso.,Mantenimiento Pasaje,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001496192,IBERIA,IBERIA,01/03/2021 09:57,,Assigned,Ping Federate UAT IAirGroup IdP: Certificate Expiry,OAM/OIM/OVD/OIF/OSB Support,Application Tower,Mantenimiento Herramientas IT & DBAs,Media,,Mantenimiento Herramientas IT & DBAs,INCIDENT,01/03/2021,ACCESS FAILURE,,0,SIN IDENTIFICAR,
INC000001496189,IBERIA,IBERIA,01/03/2021 09:36,,Assigned,"LINUX_ibm - El job: D18OXTKT con OrderID: 5gocz del DataCenter: CTM_SERVER en la maquina: zlc, Aplic",USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,PROCESS FAILURE,,0,SIN IDENTIFICAR,
INC000001496180,IBERIA,IBERIA,01/03/2021 09:27,,In Progress,BATAP AUST. Recarga,SYS,Application Tower,PSS,Baja,,Mantenimiento Pasaje,INCIDENT,01/03/2021,DEFAULT,,0,SIN IDENTIFICAR,
INC000001496176,IBERIA,IBERIA,01/03/2021 09:25,,Assigned,MFA Multifactor authentication - Ping ID: Iberia VPN asking for authentication in phone,WNS Team,UNKNOW,UNKNOW,Media,,Unidad Seguridad Informática,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR,
INC000001496174,IBERIA,IBERIA,01/03/2021 09:20,,Assigned,MFA Multifactor authentication - Ping ID:,WNS Team,UNKNOW,UNKNOW,Media,,Unidad Seguridad Informática,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,NEO-MARTINEZ VILLERGAS 49,BP Finanzas Aerolínea Cli (1FIS00)
INC000001496171,IBERIA,IBERIA,01/03/2021 09:17,,In Progress,[FCM001]: Records duplicated in Oracle database replication.,Flight OPS IB,Application Tower,FLIGHT OPERATIONS,Media,,Mantenimiento Operaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SISTEMAS(MANDOS-ANÁLISIS-PRODU,MNG. DESARROLLO SOPORTE (ASG100)
INC000001496168,IBERIA,IBERIA,01/03/2021 09:26,,In Progress,[GTR004] NEMO - VACACIONES AÑO ANTERIOR TRIPS TÉCNICOS,Flight OPS IB,Application Tower,FLIGHT OPERATIONS,Media,,Mantenimiento Operaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,DESCONOCIDO,COORD PROYECTOS Y APLICAC (AVF0AA)
INC000001496161,IBERIA,IBERIA,01/03/2021 08:58,,Assigned,"LINUX_ibm - El job: D10OVIB3 con OrderID: 5g9ne del DataCenter: CTM_SERVER en la maquina: zlc, Aplic",USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,PROCESS FAILURE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496159,IBERIA,IBERIA,01/03/2021 09:40,,Assigned,error en vinoseleccion,NIIT_MTO_LOYALTY,Application Tower,Comercial y CRM,Baja,,Mantenimiento Comercial y CRM,INCIDENT,01/03/2021,ACCESS FAILURE,,0,DESCONOCIDO,MANAGER LOYALTY (ACFM10)
INC000001496149,IBERIA,IBERIA,01/03/2021 10:05,,Pending,Fallo Software: No puede mapear unidad,IAG SITA Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,BCN AEROPUERTO,MNG. ATENCIÓN AL PASAJER (AHABS0)
INC000001496148,IBERIA,IBERIA,01/03/2021 09:57,,In Progress,"Mail message from CONTROL-M: Ha fallado el job I32OCXB en zlc, avisar en horario laboral a USCIBMAM",USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496136,IBERIA,IBERIA,01/03/2021 09:39,,Pending,Fallo Software:,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),Proyecto NDC Onboarding (ACC000NZ)
INC000001496119,IBERIA,IBERIA,01/03/2021 09:00,,Assigned,"LINUX_ibm - El job: D21OYEC0 con OrderID: 5gnxl del DataCenter: CTM_SERVER en la maquina: zlc, Aplic",USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,PROCESS FAILURE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496114,IBERIA,IBERIA,01/03/2021 08:46,,Assigned,BTAP IT. Recarga,SYS,Application Tower,PSS,Baja,,Mantenimiento Pasaje,INCIDENT,01/03/2021,DEFAULT,,0,SIN IDENTIFICAR,
INC000001496104,IBERIA,IBERIA,01/03/2021 08:15,,Assigned,Fallo Software:,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,BCN AEROPUERTO,GESTOR CALIDAD BARCELONA (AHAB00CG)
INC000001496100,IBERIA,IBERIA,01/03/2021 08:02,,Assigned,Fallo Software: Fuera de dominio,IAG EUC Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,TALLER MOTORES,INGENIERIA V2500 (AMITR0G0)
INC000001496090,IBERIA,IBERIA,01/03/2021 06:07,,In Progress,"Mail message from CONTROL-M: Ha fallado el job R50O209X en zlc, avisar en horario laboral a USCIBMAM",USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496085,IBERIA,IBERIA,01/03/2021 04:56,,Assigned,Control-M Server: Shout by orderno: 0005glj9 X01O021Y,USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,PROCESS FAILURE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496084,IBERIA,IBERIA,01/03/2021 04:53,,Assigned,LINUX_ibm - exa1db02.ib : CPU used by users is 97.78%. Call Out to ORACLE-LINUX-SUPPORT OnCall oracl,ORACLE-LINUX-Support,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,01/03/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001496074,IBERIA,IBERIA,01/03/2021 01:50,,Pending,"Hi Team, Machine MADPAKIOSK004 in No informa state. Usuario de contacto: Carolina Utrilla Gomez Te",IAG SITA Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,HARDWARE FAILURE,,0,SIN IDENTIFICAR,
INC000001496072,IBERIA,IBERIA,01/03/2021 01:09,,Assigned,LINUX_sun - Parametro /BEAWLS_J2EE_APPS/cargo1^cargo1^wls-wsat/ActiveVersionState esta en CRITICAL.,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,01/03/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001496066,IBERIA,IBERIA,01/03/2021 00:29,,Pending,Fallo Software: desbloqueo PC,IAG SITA Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR,
INC000001496056,IBERIA,IBERIA,28/02/2021 18:27,,Pending,Fallo Software: aplicación GoNow VY v4.1,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,1,AGP AEROPUERTO,PRODUCCION PASAJEROS (AHARS00S)
INC000001496049,IBERIA,IBERIA,01/03/2021 08:33,,Assigned,Bloqueo Constante del usuario,IAG EUC Remote Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,ACCESS FAILURE,,0,SIN IDENTIFICAR,
INC000001496048,IBERIA,IBERIA,01/03/2021 08:21,,Assigned,"LINUX_ibm - El job: F50O100 con OrderID: 5gpa0 del DataCenter: CTM_SERVER en la maquina: zlc, Aplica",USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,01/03/2021,PROCESS FAILURE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496045,IBERIA,IBERIA,01/03/2021 08:10,,Assigned,[NDCSUPPORT]Errores SSE_AVM_9002 en Airshopping relacionados con problemas de serialización,NDC - DESARROLLO ELS - GARANTIA,Delivery,Ib.com,Baja,,MANTENIMIENTO IB.COM,INCIDENT,01/03/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,SIN IDENTIFICAR,
INC000001496039,IBERIA,IBERIA,01/03/2021 07:52,,Pending,Fallo Software: ANTIVIRUS,ANTIVIRUS,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR (BARCELONA),ESP. DE SOPORTE MATERIALE (AMICI0BC)
